date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:16:29	604204/604204	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:16:26%20GMT	https://www.harenamanasoa.org/ceremoniekitsscolairenovembre	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/ceremoniekitsscolairenovembre.html	(from https://www.harenamanasoa.org/)
20:16:30	665081/665081	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:16:27%20GMT	https://www.harenamanasoa.org/missionmadagascarnovembre2019	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/missionmadagascarnovembre2019.html	(from https://www.harenamanasoa.org/)
20:16:31	650557/650557	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:16:27%20GMT	https://www.harenamanasoa.org/1eroctobre2019minitornade	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/1eroctobre2019minitornade.html	(from https://www.harenamanasoa.org/)
20:16:31	613643/613643	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:16:28%20GMT	https://www.harenamanasoa.org/septembre2019forum	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/septembre2019forum.html	(from https://www.harenamanasoa.org/)
20:16:32	626442/626442	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:16:28%20GMT	https://www.harenamanasoa.org/mai-a-sept-2019	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/mai-a-sept-2019.html	(from https://www.harenamanasoa.org/)
20:16:32	595685/595685	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:16:28%20GMT	https://www.harenamanasoa.org/juillet2019	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/juillet2019.html	(from https://www.harenamanasoa.org/)
20:17:23	896076/896076	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:16:30%20GMT	https://www.harenamanasoa.org/fevrier2019	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/fevrier2019.html	(from https://www.harenamanasoa.org/)
20:17:23	1059653/1059653	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:16:29%20GMT	https://www.harenamanasoa.org/mars2019	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/mars2019.html	(from https://www.harenamanasoa.org/)
20:17:24	1323428/1323428	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:16:29%20GMT	https://www.harenamanasoa.org/mars-avril2019	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/mars-avril2019.html	(from https://www.harenamanasoa.org/)
20:17:24	1103003/1103003	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:16:30%20GMT	https://www.harenamanasoa.org/antanetibe	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/antanetibe.html	(from https://www.harenamanasoa.org/)
20:17:25	591419/591419	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:17:21%20GMT	https://www.harenamanasoa.org/aout2018	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/aout2018.html	(from https://www.harenamanasoa.org/)
20:17:25	634226/634226	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2019:17:22%20GMT	https://www.harenamanasoa.org/mars2018	C:/My%20Web%20Sites/asso/www.harenamanasoa.org/mars2018.html	(from https://www.harenamanasoa.org/)
